The catcher was a spy;baseball catcher becomes WW2 spy;-;2;-;-;baseball catcher becomes WW2 spy, -, -, -
Papillon;Remake of the book with Sami Malek;-;3;-;-;Remake of the book with Sami Malek, -, -, -
Down a Dark Hall;Naughty school girls in a haunted school;-;3;-;-;Naughty school girls in a haunted school, -, -, -
Alien Code;Time travelling fun and frolics;-;3;-;-;Time travelling fun and frolics, -, -, -
Welcome to Marwen;Steve Carell dolls thing;-;2;-;-;Steve Carell dolls thing, -, -, -
The Favourite;Queen Anne thing by The Lobster guy;-;2;-;-;Queen Anne thing by The Lobster guy, -, -, -
The miseducation of Cameron Post;Girl “educated” not to be gay;Netflix;2;-;-;Girl “educated” not to be gay, Netflix, -, -
The Keeping Hours;Horror/Romance with kid ghost thing;-;2;-;-;Horror/Romance with kid ghost thing, -, -, -
Patient Zero;Zombies!!!!!!!!! (and Matt Smith);-;3;-;-;Zombies!!!!!!!!! (and Matt Smith), -, -, -
The Padre;Tim Roth conman/preacher thing;-;3;-;-;Tim Roth conman/preacher thing, -, -, -
King Lear;-;-;1;-;-;-, -, -, -
Hold the Dark;boy taken by wolves, hilarity ensues;Netflix;2;-;-;boy taken by wolves, hilarity ensues, Netflix, -, -
A Private War;Rosamund Pike war photographer thing;-;2;-;-;Rosamund Pike war photographer thing, -, -, -
At Eternity’s Gate;Van Gogh with William Defoe and ridiculous cast;-;2;-;-;Van Gogh with William Defoe and ridiculous cast, -, -, -
Kursk;Russian sub goes down, with Colin Firth;-;3;-;-;Russian sub goes down, with Colin Firth, -, -, -
Captive State;Aliens invaded, John Goodman will prevail (or something);-;3;-;-;Aliens invaded, John Goodman will prevail (or something), -, -, -
55 Steps;Right to refuse medication for mental health patients;-;2;-;-;Right to refuse medication for mental health patients, -, -, -
Border (or) Grans;Swedish film about a woman with a strong sense of smell;-;1;-;-;Swedish film about a woman with a strong sense of smell, -, -, -
Overlord;Weird War II;-;2;for Phil;-;Weird War II, -, for Phil, -
Woman at War;Icelandic sabateor thing, funny;-;3;-;-;Icelandic sabateor thing, funny, -, -, -
Fast Colour;Woman and child with weird super powers;-;3;-;-;Woman and child with weird super powers, -, -, -
The Public;Emilio Estevez in homeless library thing;-;2;-;-;Emilio Estevez in homeless library thing, -, -, -
Knives out;Who dunnit with Daniel Craig’s terrible accent;-;2;-;-;Who dunnit with Daniel Craig’s terrible accent, -, -, -
Maleficent: Mistress of Evil;-;-;3;-;-;-, -, -, -
Ode to Joy;Martin Freeman comedy;-;2;-;-;Martin Freeman comedy, -, -, -
The King’s Man;3rd in the kingsman films;-;2;-;-;3rd in the kingsman films, -, -, -
Night Hunter;Police thriller with unrecognisable Henry Cavill;-;2;-;-;Police thriller with unrecognisable Henry Cavill, -, -, -
Don’t let go;Time travelling dead niece thing;-;1;-;-;Time travelling dead niece thing, -, -, -
Ad Astra;sci fi with silly good cast;-;2;-;-;sci fi with silly good cast, -, -, -
21 Bridges;cops close manhatten;-;2;-;-;cops close manhatten, -, -, -
Extra Ordinary;Irish daft ghost exorcism thing;-;2;-;-;Irish daft ghost exorcism thing, -, -, -
Harriet;Woman slave heroine;-;2;-;-;Woman slave heroine, -, -, -
Tomorrow Man;Gentle romance with hoarders (John Lithgow);-;2;-;-;Gentle romance with hoarders (John Lithgow), -, -, -
Zombie Land: Double Tap;;-;3;-;-;, -, -, -
Little monsters;School trip with zombies;-;1;-;Added to CP;School trip with zombies, -, -, Added to CP
1917;1st world war sam mendes thing;-;2;-;-;1st world war sam mendes thing, -, -, -
Black and Blue;Naomi Harris cop thing;-;2;-;-;Naomi Harris cop thing, -, -, -
Strange but True;Just weird, great cast, virgin pregnancy after prom accident;-;2;-;-;Just weird, great cast, virgin pregnancy after prom accident, -, -, -
The Day Shall Come;Chris Morris thing;-;1;-;Added to CP;Chris Morris thing, -, -, Added to CP
Little Women;Saoirse Ronan version;-;2;-;-;Saoirse Ronan version, -, -, -
The Weekend;Unexpectedly funny thing;-;2;-;-;Unexpectedly funny thing, -, -, -
Jexi;Psycho AI phone thing but funny;-;2;-;-;Psycho AI phone thing but funny, -, -, -
The Greener Grass;Weird, weird, weird, weird (kid turns into dog), weird;-;3;-;-;Weird, weird, weird, weird (kid turns into dog), weird, -, -, -
Star Wars: the rise of skywalker;-;-;1;-;-;-, -, -, -
The King;Henry V (not shakespeare);Netflix;2;-;-;Henry V (not shakespeare), Netflix, -, -
Joker;-;-;1;-;-;-, -, -, -
Terminator: Dark Fate;-;-;2;-;-;-, -, -, -
Ordinary Love;Liam Neeson breast cancer thing;-;2;-;-;
